,,,,,,,count_of_sentiments_x_x,count_of_sentiments_x_x,count_of_sentiments_x_x,prop_sentiments,prop_sentiments,prop_sentiments,count_of_sentiments_y,count_of_sentiments_y,count_of_sentiments_y,count_of_sentiments_x_y,count_of_sentiments_x_y,count_of_sentiments_x_y
sentiment_polarity,,,,,,,neg,neu,pos,neg,neu,pos,neg,neu,pos,neg,neu,pos
kword,policy_is_mentioned,fortnight_to_lockdown,time_window,tot_counts,fortnight_starting,,,,,,,,,,,,,
behav_change,0.0,-4,before-lockdown,0,2020-01-27,behav_change,0,0,0,,,,0.0,0.75,0.25,0.0,0.97,0.03
behav_change,0.0,-3,before-lockdown,0,2020-02-10,behav_change,0,0,0,,,,0.0,0.75,0.25,0.0,0.97,0.03
behav_change,0.0,-2,before-lockdown,0,2020-02-24,behav_change,0,0,0,,,,0.0,0.75,0.25,0.0,0.97,0.03
behav_change,0.0,-1,before-lockdown,4,2020-03-09,behav_change,0,3,1,0.0,0.75,0.25,0.0,0.75,0.25,0.0,0.97,0.03
behav_change,0.0,0,lockdown,1,2020-03-23,behav_change,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97,0.03
behav_change,0.0,1,lockdown,2,2020-04-06,behav_change,0,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97,0.03
behav_change,0.0,2,lockdown,5,2020-04-20,behav_change,0,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97,0.03
behav_change,0.0,3,lockdown,8,2020-05-04,behav_change,0,8,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97,0.03
behav_change,0.0,4,post-lockdown,3,2020-05-18,behav_change,0,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97,0.03
behav_change,0.0,5,post-lockdown,1,2020-06-01,behav_change,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97,0.03
behav_change,0.0,6,post-lockdown,1,2020-06-15,behav_change,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97,0.03
behav_change,0.0,7,post-lockdown,4,2020-06-29,behav_change,0,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.97,0.03
behav_change,1.0,-4,before-lockdown,0,2020-01-27,behav_change,0,0,0,,,,0.0,1.0,0.0,0.0,0.94,0.06
behav_change,1.0,-3,before-lockdown,0,2020-02-10,behav_change,0,0,0,,,,0.0,1.0,0.0,0.0,0.94,0.06
behav_change,1.0,-2,before-lockdown,0,2020-02-24,behav_change,0,0,0,,,,0.0,1.0,0.0,0.0,0.94,0.06
behav_change,1.0,-1,before-lockdown,1,2020-03-09,behav_change,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.94,0.06
behav_change,1.0,0,lockdown,10,2020-03-23,behav_change,0,9,1,0.0,0.9,0.1,0.0,0.92,0.08,0.0,0.94,0.06
behav_change,1.0,1,lockdown,1,2020-04-06,behav_change,0,1,0,0.0,1.0,0.0,0.0,0.92,0.08,0.0,0.94,0.06
behav_change,1.0,2,lockdown,1,2020-04-20,behav_change,0,1,0,0.0,1.0,0.0,0.0,0.92,0.08,0.0,0.94,0.06
behav_change,1.0,3,lockdown,0,2020-05-04,behav_change,0,0,0,,,,0.0,0.92,0.08,0.0,0.94,0.06
behav_change,1.0,4,post-lockdown,0,2020-05-18,behav_change,0,0,0,,,,0.0,1.0,0.0,0.0,0.94,0.06
behav_change,1.0,5,post-lockdown,3,2020-06-01,behav_change,0,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.94,0.06
behav_change,1.0,6,post-lockdown,0,2020-06-15,behav_change,0,0,0,,,,0.0,1.0,0.0,0.0,0.94,0.06
behav_change,1.0,7,post-lockdown,0,2020-06-29,behav_change,0,0,0,,,,0.0,1.0,0.0,0.0,0.94,0.06
behav_econ,0.0,-4,before-lockdown,1,2020-01-27,behav_econ,1,0,0,1.0,0.0,0.0,0.29,0.57,0.14,0.21,0.65,0.15
