kword,fortnight_starting,fortnight_to_lockdown,time_window,prominance,prominance_rt,"('prop_rt_sentiments', 'neg')","('prop_rt_sentiments', 'neu')","('prop_rt_sentiments', 'pos')","('prop_sentiments', 'neg')","('prop_sentiments', 'neu')","('prop_sentiments', 'pos')","('sentiment_count', 'neg')","('sentiment_count', 'neu')","('sentiment_count', 'pos')","('sentiment_rt_count', 'neg')","('sentiment_rt_count', 'neu')","('sentiment_rt_count', 'pos')"
behav_change,2020-01-27,-4,before-lockdown,0.0,,,,,,,,,,,,,
behav_change,2020-02-24,-2,before-lockdown,0.3026315789473684,0.1303030303030303,0.02,0.65,0.33,0.04,0.52,0.43,1.0,12.0,10.0,1.0,28.0,14.0
behav_change,2020-03-09,-1,before-lockdown,0.16756756756756758,0.06717182060208889,0.02,0.38,0.6,0.04,0.43,0.53,4.0,40.0,49.0,5.0,125.0,198.0
behav_change,2020-03-23,0,lockdown,0.3150684931506849,0.11453362255965292,0.02,0.56,0.42,0.02,0.53,0.45,2.0,49.0,41.0,6.0,148.0,110.0
behav_change,2020-04-06,1,lockdown,0.4772727272727273,0.4560954816709292,0.0,0.36,0.64,0.01,0.63,0.36,2.0,92.0,53.0,2.0,190.0,343.0
behav_change,2020-04-20,2,lockdown,0.41198501872659177,0.49816176470588236,0.02,0.27,0.7,0.02,0.49,0.49,2.0,54.0,54.0,12.0,148.0,382.0
behav_change,2020-05-04,3,lockdown,0.35446685878962536,0.3587360594795539,,0.58,0.42,,0.47,0.53,,57.0,65.0,,336.0,242.0
behav_change,2020-05-18,4,post-lockdown,0.3786407766990291,0.2196870925684485,0.01,0.33,0.66,0.04,0.51,0.45,3.0,40.0,35.0,4.0,111.0,222.0
behav_change,2020-06-01,5,post-lockdown,0.3235294117647059,0.2642369020501139,0.02,0.42,0.56,0.02,0.41,0.57,1.0,18.0,25.0,2.0,49.0,65.0
behav_change,2020-06-29,7,post-lockdown,0.0,,,,,,,,,,,,,
behav_econ,2020-01-27,-4,before-lockdown,0.0,,,,,,,,,,,,,
behav_econ,2020-02-24,-2,before-lockdown,0.039473684210526314,0.00909090909090909,0.33,0.33,0.33,0.33,0.33,0.33,1.0,1.0,1.0,1.0,1.0,1.0
behav_econ,2020-03-09,-1,before-lockdown,0.02702702702702703,0.01658816301454024,0.44,0.2,0.36,0.2,0.53,0.27,3.0,8.0,4.0,36.0,16.0,29.0
behav_econ,2020-03-23,0,lockdown,0.030821917808219176,0.010845986984815618,,0.68,0.32,,0.67,0.33,,6.0,3.0,,17.0,8.0
behav_econ,2020-04-06,1,lockdown,0.025974025974025976,0.015345268542199489,,0.89,0.11,,0.88,0.12,,7.0,1.0,,16.0,2.0
behav_econ,2020-04-20,2,lockdown,0.0599250936329588,0.03125,0.38,0.47,0.15,0.25,0.44,0.31,4.0,7.0,5.0,13.0,16.0,5.0
behav_econ,2020-05-04,3,lockdown,0.023054755043227664,0.014250309789343246,0.09,0.91,,0.25,0.75,,2.0,6.0,,2.0,21.0,
behav_econ,2020-05-18,4,post-lockdown,0.014563106796116505,0.005215123859191656,,0.62,0.38,,0.67,0.33,,2.0,1.0,,5.0,3.0
behav_econ,2020-06-01,5,post-lockdown,0.03676470588235294,0.01366742596810934,,0.83,0.17,,0.8,0.2,,4.0,1.0,,5.0,1.0
behav_econ,2020-06-29,7,post-lockdown,0.0,,,,,,,,,,,,,
behav_insights_team,2020-01-27,-4,before-lockdown,0.0,,,,,,,,,,,,,
behav_insights_team,2020-02-24,-2,before-lockdown,0.013157894736842105,0.0030303030303030303,,1.0,,,1.0,,,1.0,,,1.0,
behav_insights_team,2020-03-09,-1,before-lockdown,0.16036036036036036,0.1566659840262134,0.63,0.33,0.04,0.56,0.38,0.06,50.0,34.0,5.0,482.0,250.0,33.0
behav_insights_team,2020-03-23,0,lockdown,0.1267123287671233,0.29370932754880696,0.88,0.1,0.02,0.62,0.3,0.08,23.0,11.0,3.0,595.0,70.0,12.0
behav_insights_team,2020-04-06,1,lockdown,0.1038961038961039,0.11594202898550725,0.78,0.18,0.04,0.81,0.06,0.12,26.0,2.0,4.0,106.0,25.0,5.0
behav_insights_team,2020-04-20,2,lockdown,0.0449438202247191,0.08639705882352941,0.84,0.16,,0.33,0.67,,4.0,8.0,,79.0,15.0,
