kword,pubpol_is_mentioned,fortnight_starting,fortnight_to_lockdown,count_of_rt_sentiments_neg,count_of_rt_sentiments_neu,count_of_rt_sentiments_pos,count_of_sentiments_neg,count_of_sentiments_neu,count_of_sentiments_pos,total_counts,total_rt_counts,prop_neg,prop_neu,prop_pos,prop_rt_neg,prop_rt_neu,prop_rt_pos
behav_change,0.0,2020-01-27,-4,0,0,0,0,0,0,0,0,,,,,,
behav_change,0.0,2020-02-10,-3,0,0,0,0,0,0,0,0,,,,,,
behav_change,0.0,2020-02-24,-2,1,28,14,1,12,10,23,43,0.043478260869565216,0.5217391304347826,0.43478260869565216,0.023255813953488372,0.6511627906976745,0.32558139534883723
behav_change,0.0,2020-03-09,-1,3,125,159,2,40,41,83,287,0.024096385542168676,0.4819277108433735,0.4939759036144578,0.010452961672473868,0.4355400696864111,0.554006968641115
behav_change,0.0,2020-03-23,0,5,147,96,1,48,38,87,248,0.011494252873563218,0.5517241379310345,0.4367816091954023,0.020161290322580645,0.592741935483871,0.3870967741935484
behav_change,0.0,2020-04-06,1,1,190,327,1,92,50,143,518,0.006993006993006993,0.6433566433566433,0.34965034965034963,0.0019305019305019305,0.3667953667953668,0.6312741312741312
behav_change,0.0,2020-04-20,2,0,146,382,0,52,54,106,528,0.0,0.49056603773584906,0.5094339622641509,0.0,0.2765151515151515,0.7234848484848485
behav_change,0.0,2020-05-04,3,0,334,232,0,55,64,119,566,0.0,0.46218487394957986,0.5378151260504201,0.0,0.5901060070671378,0.4098939929328622
behav_change,0.0,2020-05-18,4,4,109,222,3,38,35,76,335,0.039473684210526314,0.5,0.4605263157894737,0.011940298507462687,0.3253731343283582,0.6626865671641791
behav_change,0.0,2020-06-01,5,0,49,63,0,18,24,42,112,0.0,0.42857142857142855,0.5714285714285714,0.0,0.4375,0.5625
behav_change,0.0,2020-06-15,6,0,0,0,0,0,0,0,0,,,,,,
behav_change,0.0,2020-06-29,7,0,0,0,0,0,0,0,0,,,,,,
behav_change,1.0,2020-01-27,-4,0,0,0,0,0,0,0,0,,,,,,
behav_change,1.0,2020-02-10,-3,0,0,0,0,0,0,0,0,,,,,,
behav_change,1.0,2020-02-24,-2,0,0,0,0,0,0,0,0,,,,,,
behav_change,1.0,2020-03-09,-1,2,0,39,2,0,8,10,41,0.2,0.0,0.8,0.04878048780487805,0.0,0.9512195121951219
behav_change,1.0,2020-03-23,0,1,1,14,1,1,3,5,16,0.2,0.2,0.6,0.0625,0.0625,0.875
behav_change,1.0,2020-04-06,1,1,0,16,1,0,3,4,17,0.25,0.0,0.75,0.058823529411764705,0.0,0.9411764705882353
behav_change,1.0,2020-04-20,2,12,2,0,2,2,0,4,14,0.5,0.5,0.0,0.8571428571428571,0.14285714285714285,0.0
behav_change,1.0,2020-05-04,3,0,2,10,0,2,1,3,12,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.8333333333333334
behav_change,1.0,2020-05-18,4,0,2,0,0,2,0,2,2,0.0,1.0,0.0,0.0,1.0,0.0
behav_change,1.0,2020-06-01,5,2,0,2,1,0,1,2,4,0.5,0.0,0.5,0.5,0.0,0.5
behav_change,1.0,2020-06-15,6,0,0,0,0,0,0,0,0,,,,,,
behav_change,1.0,2020-06-29,7,0,0,0,0,0,0,0,0,,,,,,
