kword,fortnight_starting,towards_pubpolicy_neg,towards_pubpolicy_neu,towards_pubpolicy_pos,towards_rt_pubpolicy_neg,towards_rt_pubpolicy_neu,towards_rt_pubpolicy_pos,total_counts,total_rt_counts,prop_neg,prop_neu,prop_pos,prop_rt_neg,prop_rt_neu,prop_rt_pos
behav_change,2020-01-27,,,,,,,0.0,0.0,,,,,,
behav_change,2020-02-10,,,,,,,0.0,0.0,,,,,,
behav_change,2020-02-24,,,,,,,0.0,0.0,,,,,,
behav_change,2020-03-09,4.0,3.0,3.0,30.0,6.0,5.0,10.0,41.0,0.4,0.3,0.3,0.7317073170731707,0.14634146341463414,0.12195121951219512
behav_change,2020-03-23,1.0,2.0,2.0,12.0,2.0,2.0,5.0,16.0,0.2,0.4,0.4,0.75,0.125,0.125
behav_change,2020-04-06,,4.0,,,17.0,,4.0,17.0,,1.0,,,1.0,
behav_change,2020-04-20,2.0,,2.0,12.0,,2.0,4.0,14.0,0.5,,0.5,0.8571428571428571,,0.14285714285714285
behav_change,2020-05-04,1.0,2.0,,1.0,11.0,,3.0,12.0,0.3333333333333333,0.6666666666666666,,0.08333333333333333,0.9166666666666666,
behav_change,2020-05-18,1.0,,1.0,1.0,,1.0,2.0,2.0,0.5,,0.5,0.5,,0.5
behav_change,2020-06-01,,2.0,,,4.0,,2.0,4.0,,1.0,,,1.0,
behav_change,2020-06-15,,,,,,,0.0,0.0,,,,,,
behav_change,2020-06-29,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-01-27,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-02-10,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-02-24,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-03-09,4.0,,,41.0,,,4.0,41.0,1.0,,,1.0,,
behav_econ,2020-03-23,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-04-06,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-04-20,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,
behav_econ,2020-05-04,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,
behav_econ,2020-05-18,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-06-01,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-06-15,,,,,,,0.0,0.0,,,,,,
behav_econ,2020-06-29,,,,,,,0.0,0.0,,,,,,
behav_insights_team,2020-01-27,,,,,,,0.0,0.0,,,,,,
behav_insights_team,2020-02-10,,,,,,,0.0,0.0,,,,,,
behav_insights_team,2020-02-24,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,
behav_insights_team,2020-03-09,27.0,17.0,,325.0,33.0,,44.0,358.0,0.6136363636363636,0.38636363636363635,,0.9078212290502793,0.09217877094972067,
behav_insights_team,2020-03-23,16.0,3.0,,594.0,51.0,,19.0,645.0,0.8421052631578947,0.15789473684210525,,0.9209302325581395,0.07906976744186046,
behav_insights_team,2020-04-06,10.0,6.0,,52.0,47.0,,16.0,99.0,0.625,0.375,,0.5252525252525253,0.47474747474747475,
behav_insights_team,2020-04-20,2.0,,,5.0,,,2.0,5.0,1.0,,,1.0,,
behav_insights_team,2020-05-04,8.0,14.0,,25.0,82.0,,22.0,107.0,0.36363636363636365,0.6363636363636364,,0.2336448598130841,0.7663551401869159,
behav_insights_team,2020-05-18,2.0,,,2.0,,,2.0,2.0,1.0,,,1.0,,
behav_insights_team,2020-06-01,4.0,1.0,,6.0,1.0,,5.0,7.0,0.8,0.2,,0.8571428571428571,0.14285714285714285,
behav_insights_team,2020-06-15,,,,,,,0.0,0.0,,,,,,
behav_insights_team,2020-06-29,,,,,,,0.0,0.0,,,,,,
behav_science,2020-01-27,,,,,,,0.0,0.0,,,,,,
behav_science,2020-02-10,,,,,,,0.0,0.0,,,,,,
behav_science,2020-02-24,,3.0,,,8.0,,3.0,8.0,,1.0,,,1.0,
behav_science,2020-03-09,43.0,15.0,7.0,129.0,195.0,11.0,65.0,335.0,0.6615384615384615,0.23076923076923078,0.1076923076923077,0.3850746268656716,0.582089552238806,0.03283582089552239
behav_science,2020-03-23,7.0,10.0,,33.0,21.0,,17.0,54.0,0.4117647058823529,0.5882352941176471,,0.6111111111111112,0.3888888888888889,
behav_science,2020-04-06,5.0,7.0,,25.0,13.0,,12.0,38.0,0.4166666666666667,0.5833333333333334,,0.6578947368421053,0.34210526315789475,
behav_science,2020-04-20,6.0,2.0,1.0,43.0,13.0,2.0,9.0,58.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.7413793103448276,0.22413793103448276,0.034482758620689655
behav_science,2020-05-04,14.0,3.0,2.0,100.0,14.0,5.0,19.0,119.0,0.7368421052631579,0.15789473684210525,0.10526315789473684,0.8403361344537815,0.11764705882352941,0.04201680672268908
behav_science,2020-05-18,6.0,12.0,,13.0,38.0,,18.0,51.0,0.3333333333333333,0.6666666666666666,,0.2549019607843137,0.7450980392156863,
behav_science,2020-06-01,,1.0,,,2.0,,1.0,2.0,,1.0,,,1.0,
behav_science,2020-06-15,,,,,,,0.0,0.0,,,,,,
behav_science,2020-06-29,,,,,,,0.0,0.0,,,,,,
behav_scientist,2020-01-27,,,,,,,0.0,0.0,,,,,,
behav_scientist,2020-02-10,,,,,,,0.0,0.0,,,,,,
behav_scientist,2020-02-24,,,,,,,0.0,0.0,,,,,,
behav_scientist,2020-03-09,4.0,2.0,,58.0,5.0,,6.0,63.0,0.6666666666666666,0.3333333333333333,,0.9206349206349206,0.07936507936507936,
behav_scientist,2020-03-23,2.0,,,6.0,,,2.0,6.0,1.0,,,1.0,,
behav_scientist,2020-04-06,,,,,,,0.0,0.0,,,,,,
behav_scientist,2020-04-20,1.0,,,10.0,,,1.0,10.0,1.0,,,1.0,,
behav_scientist,2020-05-04,1.0,,,2.0,,,1.0,2.0,1.0,,,1.0,,
behav_scientist,2020-05-18,2.0,1.0,,7.0,1.0,,3.0,8.0,0.6666666666666666,0.3333333333333333,,0.875,0.125,
behav_scientist,2020-06-01,,,,,,,0.0,0.0,,,,,,
behav_scientist,2020-06-15,,,,,,,0.0,0.0,,,,,,
behav_scientist,2020-06-29,,,,,,,0.0,0.0,,,,,,
halpern,2020-01-27,,,,,,,0.0,0.0,,,,,,
halpern,2020-02-10,,,,,,,0.0,0.0,,,,,,
halpern,2020-02-24,,,,,,,0.0,0.0,,,,,,
halpern,2020-03-09,17.0,10.0,,235.0,16.0,,27.0,251.0,0.6296296296296297,0.37037037037037035,,0.9362549800796812,0.06374501992031872,
halpern,2020-03-23,2.0,2.0,,2.0,45.0,,4.0,47.0,0.5,0.5,,0.0425531914893617,0.9574468085106383,
halpern,2020-04-06,2.0,3.0,,36.0,26.0,,5.0,62.0,0.4,0.6,,0.5806451612903226,0.41935483870967744,
halpern,2020-04-20,3.0,1.0,,31.0,2.0,,4.0,33.0,0.75,0.25,,0.9393939393939394,0.06060606060606061,
halpern,2020-05-04,2.0,4.0,,10.0,17.0,,6.0,27.0,0.3333333333333333,0.6666666666666666,,0.37037037037037035,0.6296296296296297,
halpern,2020-05-18,3.0,,,7.0,,,3.0,7.0,1.0,,,1.0,,
halpern,2020-06-01,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,
halpern,2020-06-15,,,,,,,0.0,0.0,,,,,,
halpern,2020-06-29,,,,,,,0.0,0.0,,,,,,
michie,2020-01-27,,,,,,,0.0,0.0,,,,,,
michie,2020-02-10,,,,,,,0.0,0.0,,,,,,
michie,2020-02-24,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,
michie,2020-03-09,4.0,2.0,,8.0,3.0,,6.0,11.0,0.6666666666666666,0.3333333333333333,,0.7272727272727273,0.2727272727272727,
michie,2020-03-23,1.0,1.0,,1.0,2.0,,2.0,3.0,0.5,0.5,,0.3333333333333333,0.6666666666666666,
michie,2020-04-06,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0
michie,2020-04-20,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,
michie,2020-05-04,8.0,3.0,2.0,11.0,6.0,13.0,13.0,30.0,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.36666666666666664,0.2,0.43333333333333335
michie,2020-05-18,6.0,5.0,,13.0,15.0,,11.0,28.0,0.5454545454545454,0.45454545454545453,,0.4642857142857143,0.5357142857142857,
michie,2020-06-01,1.0,2.0,,1.0,5.0,,3.0,6.0,0.3333333333333333,0.6666666666666666,,0.16666666666666666,0.8333333333333334,
michie,2020-06-15,,,,,,,0.0,0.0,,,,,,
michie,2020-06-29,,,,,,,0.0,0.0,,,,,,
nudge,2020-01-27,,,,,,,0.0,0.0,,,,,,
nudge,2020-02-10,,,,,,,0.0,0.0,,,,,,
