,article_id,title,pub_date_dt,kword,opinion_context
886,b1_355,"For us to listen, those giving orders need to share the pain",2020-04-13,reicher,"(13, 'psychologists alexander haslam and stephen reicher argued that when one looks closely at what actually happened during the milgram experiment, it was not issuing orders that achieved co-operation.')"
1162,b1_472,Revealed: the inside story of the UK's Covid-19 crisis;How herd immunity and delayed lockdown hampered efforts to contain the spread of coronavirus Coronavirus - latest updatesSee all our coronavirus coverage,2020-04-29,reicher,"(138, 'three behavioural scientists on spi-b, stephen reicher, john drury and clifford stott, even wrote an article for the psychologist journal, rejecting the notion of ""fatigue"" and suggesting that delaying stricter social distancing measures on that premise was taking a risk with lives.')"
1162,b1_472,Revealed: the inside story of the UK's Covid-19 crisis;How herd immunity and delayed lockdown hampered efforts to contain the spread of coronavirus Coronavirus - latest updatesSee all our coronavirus coverage,2020-04-29,drury,"(138, 'three behavioural scientists on spi-b, stephen reicher, john drury and clifford stott, even wrote an article for the psychologist journal, rejecting the notion of ""fatigue"" and suggesting that delaying stricter social distancing measures on that premise was taking a risk with lives.')"
1195,b1_499,"Isolation as dangerous as smoking 15 cigarettes a day, lockdown adviser warns;Prof Stephen Reicher says that social distancing is having an impact on the nation's mental and physical health",2020-05-02,reicher,"(3, 'professor stephen reicher, who is part of a group of behavioural scientists advising the government, told the telegraph: ""the problem with lockdown is isolation; being cut off from people is bad for you psychologically and physically.')"
1195,b1_499,"Isolation as dangerous as smoking 15 cigarettes a day, lockdown adviser warns;Prof Stephen Reicher says that social distancing is having an impact on the nation's mental and physical health",2020-05-02,reicher,"(15, 'prof reicher said that from the data he has seen the ""overwhelming story [of lockdown] is still how high the levels of adherence are and how positive relations between people are.')"
1195,b1_499,"Isolation as dangerous as smoking 15 cigarettes a day, lockdown adviser warns;Prof Stephen Reicher says that social distancing is having an impact on the nation's mental and physical health",2020-05-02,reicher,"(18, 'prof reicher said: ""when we see changes in adherence or non-adherence it is not at all clear that this is not a psychological issue, it is much more an issue of practicality.')"
1207,b1_508,Isolation 'as harmful as a 15-a-day smoking habit',2020-05-03,reicher,"(3, 'prof stephen reicher, who is part of a group of behavioural scientists advising the government, said: ""the problem with lockdown is isolation; being cut off from people is bad for you psychologically and physically.')"
1207,b1_508,Isolation 'as harmful as a 15-a-day smoking habit',2020-05-03,reicher,"(13, 'prof reicher said that from the data he had seen the ""overwhelming story [of lockdown] is still how high the levels of adherence are and how positive relations between people are"".')"
1312,b1_563,Mixed messages': UK government's strategy fuels fears of rule-breaking;Critics of No 10 warn U-turns undermining efforts to keep public safe from coronavirusCoronavirus - latest updatesSee all our coronavirus coverage,2020-05-07,drury,"(40, 'speaking in a personal capacity, john drury, professor of social psychology at the university of sussex, expressed similar concerns.')"
1312,b1_563,Mixed messages': UK government's strategy fuels fears of rule-breaking;Critics of No 10 warn U-turns undermining efforts to keep public safe from coronavirusCoronavirus - latest updatesSee all our coronavirus coverage,2020-05-07,drury,"(44, 'this article was amended on 8 may 2020. an earlier version mistakenly described john drury as belonging to sage, instead of to the expert group spi-b.')"
