,Unnamed: 0,created_at,hashtags,favorite_count,id,reweet_id,retweet_screen_name,lang,place,possibly_sensitive,retweet_count,text,user_screen_name,user_followers_count,user_location,user_name,user_screen_name.1,user_time_zone,text_cl,subkeywords,relevant_subkwords
0,5,Tue Apr 14 18:59:09 +0000 2020,NudgeUnit coronavirus HerdImmunity,0,1.25013653023827E+018,,,en,,False,0,"""The introduction of the rules of behavior taken from the corporate sector into politics means that politicians no longer see people whom they rule as co-citizens but as employees."" – @BrankoMilan …sounds familiar UK? #NudgeUnit #coronavirus #HerdImmunity https://t.co/vABII5Y2jB",38one,784,UK,Denis Radenković,38one,,"""the introduction of the rules of behavior taken from the corporate sector into politics means that politicians no longer see people whom they rule as co-citizens but as employees."" – @brankomilan …sounds familiar uk? #nudgeunit #coronavirus #herdimmunity https://t.co/vabii5y2jb","['nudgeunit', 'nudge', 'corona', 'herdimmunity']","['nudgeunit', 'herdimmunity']"
6,35,Thu Mar 19 19:58:53 +0000 2020,behaviouralscience nudgesinthewild COVID19,0,1.24072947808879E+018,1.24044390309591E+018,shayonislynn,en,,False,4,RT @shayonislynn: Using #behaviouralscience to improve behaviours #nudgesinthewild #COVID19 https://t.co/OyIDElZwR7,DonSmith_ca,300,"Toronto, ON",Don Smith 🇨🇦,DonSmith_ca,,rt @shayonislynn: using #behaviouralscience to improve behaviours #nudgesinthewild #covid19 https://t.co/oyidelzwr7,"['behaviouralscience', 'nudges', 'nudge', 'covid']","['behaviouralscience', 'nudges']"
10,42,Wed Mar 18 03:57:39 +0000 2020,FlattenTheCurve coronavirus,0,1.2401251883034E+018,,,en,,False,0,"As nudges go this one is as relevant and effective to our times as any. Plus everyone knows that @LukeShaw23 is the best young left back in world football which means you will end up either washing or sanitizing your hands.
Nudge on to #FlattenTheCurve
#coronavirus https://t.co/FLDArW9tag",NudgingforKids,747,"New York, NY",NudgingforKids,NudgingforKids,,"as nudges go this one is as relevant and effective to our times as any. plus everyone knows that @lukeshaw23 is the best young left back in world football which means you will end up either washing or sanitizing your hands.
nudge on to #flattenthecurve
#coronavirus https://t.co/fldarw9tag","['nudges', 'nudge', 'corona']","['nudges', 'nudge']"
16,70,Thu Mar 12 16:35:45 +0000 2020,,0,1.23814164200525E+018,1.23809245801529E+018,faisalislam,en,,,189,RT @faisalislam: Mark interviews the nudge unit behavioural scientist whose advice has driven the epidemic response so far -,PaulDuffy1192,2440,London,🇪🇺🖤Paul Duffy #FBPE EU Citizen 3.5%,PaulDuffy1192,,rt @faisalislam: mark interviews the nudge unit behavioural scientist whose advice has driven the epidemic response so far -,"['nudge unit', 'behavioural scientist', 'nudge', 'epidemic']","['nudge unit', 'behavioural scientist']"
19,82,Wed Mar 11 06:46:57 +0000 2020,coronavirus,3,1.23763107763794E+018,,,en,,False,0,Really interesting explainer on UK’s #coronavirus strategy incl. how the Nudge Unit is central to the approach https://t.co/2AKg0ldety,alexevansuk,7181,North Yorkshire,Alex Evans,alexevansuk,,really interesting explainer on uk’s #coronavirus strategy incl. how the nudge unit is central to the approach https://t.co/2akg0ldety,"['nudge unit', 'nudge', 'corona']",['nudge unit']
24,107,Mon Apr 06 22:11:27 +0000 2020,herdImmunity nudgeTheory covid19 FalseExpertise,0,1.24728581976698E+018,,,en,,,0,"@philosofacespin Didn’t the deadly #herdImmunity &amp; #nudgeTheory nonsenses which were the foundation of the initial #covid19 strategy of the  🇬🇧PM -(who boasted about keeping at shaking hands &amp; is now in intensive care) came from brilliant psychologists with PhDs?
#FalseExpertise",DrFulli,898,Paris,Ivana Fulli,DrFulli,,"@philosofacespin didn’t the deadly #herdimmunity &amp; #nudgetheory nonsenses which were the foundation of the initial #covid19 strategy of the  🇬🇧pm -(who boasted about keeping at shaking hands &amp; is now in intensive care) came from brilliant psychologists with phds?
#falseexpertise","['psychologists', 'psychologist', 'nudge', 'nudgetheory', 'covid', 'herdimmunity']","['psychologists', 'nudgetheory', 'herdimmunity']"
25,111,Mon Mar 16 10:02:01 +0000 2020,Coronavirus COVIDー19,103,1.23949210786743E+018,,,en,,False,58,"Many psychologists have signed an open letter calling on the government to share their evidence for the concept of 'behavioural fatigue' around social distancing measures. Here, some of them explain the reasoning behind their letter
https://t.co/iFYbJTFW7N
#Coronavirus #COVIDー19",psychmag,106147,"Leicester, UK",The Psychologist,psychmag,,"many psychologists have signed an open letter calling on the government to share their evidence for the concept of 'behavioural fatigue' around social distancing measures. here, some of them explain the reasoning behind their letter
https://t.co/ifybjtfw7n
#coronavirus #covidー19","['psychologists', 'psychologist', 'corona', 'covid', 'behavioural fatigue']","['psychologists', 'behavioural fatigue']"
51,194,Sat May 23 13:23:45 +0000 2020,BorisJohnson coronavirus bbcaq tyranny BorisHasFailedBritain BorisHasFailed coronavirus coronahoax coronabollocks COVIDー19 covid1984 CovidHoax Covid_19 Globalism,0,1.26418524990437E+018,,,en,,False,0,"Why is #BorisJohnson using the 'behavioural insights team' to 'ramp up fear' around the #coronavirus?

#bbcaq #tyranny #BorisHasFailedBritain #BorisHasFailed

#coronavirus #coronahoax #coronabollocks #COVIDー19 #covid1984 #CovidHoax #Covid_19 #Globalism 

https://t.co/t4INa6cSXy",Sweep_63,1316,England,Captain Kremen,Sweep_63,,"why is #borisjohnson using the 'behavioural insights team' to 'ramp up fear' around the #coronavirus?

#bbcaq #tyranny #borishasfailedbritain #borishasfailed

#coronavirus #coronahoax #coronabollocks #covidー19 #covid1984 #covidhoax #covid_19 #globalism 

https://t.co/t4ina6csxy","['behavioural insights team', 'behavioural insight', 'behavioural insights', 'corona', 'covid']",['behavioural insights team']
59,246,Sat Apr 18 15:01:54 +0000 2020,ToryIdiocy DavidHalpern Nudge,1,1.25152637560278E+018,,,en,,False,1,"Behold #ToryIdiocy 
Govt ‘Science Advisor’ #DavidHalpern is a psychologist and civil servant, heading the Behavioural Insights Team (unofficially known as the #Nudge Unit) spun out from the Cabinet Office 🤔 https://t.co/BoHJ8k4lFV",Staircase2,5071,London,Stephe Meloy 🌹Labour,Staircase2,,"behold #toryidiocy 
govt ‘science advisor’ #davidhalpern is a psychologist and civil servant, heading the behavioural insights team (unofficially known as the #nudge unit) spun out from the cabinet office 🤔 https://t.co/bohj8k4lfv","['halpern', 'nudge unit', 'behavioural insights team', 'behavioural insight', 'behavioural insights', 'psychologist', 'nudge']","['halpern', 'nudge unit', 'behavioural insights team', 'psychologist']"
69,283,Sun Mar 15 14:33:13 +0000 2020,,7,1.23919796875602E+018,,,en,,False,11,"Should we act swiftly to lockdown the Corona Virus as the World Health Organisation recommends or should we trust Boris Johnson's nudge unit to set the terms of whether our grandparents live or die?

@lbc https://t.co/QmEGGOCjp1",ImIncorrigible,17733,I'm all over the place,I Am Incorrigible FCA,ImIncorrigible,,"should we act swiftly to lockdown the corona virus as the world health organisation recommends or should we trust boris johnson's nudge unit to set the terms of whether our grandparents live or die?

@lbc https://t.co/qmeggocjp1","['nudge unit', 'nudge', 'corona']",['nudge unit']
