,id,text,label
0,1.24003521295789E+018,"As another #behaviourchange expert, I agree: If we can beat #Covid19 we can do the same for the #climatecrisis https://t.co/JTKYmEIOaA",
1,1.25502546323334E+018,"Hope &amp; Ideas!

#endthelockdown https://t.co/aDaZ9fZkQP",
2,1.24792548778512E+018,Awesome to see you guys ❤️ #AttitudeofGratitude https://t.co/eDjNDdxfSA,
3,1.2370365757181E+018,Making #coronavirus behaviour change fun. Try it yourself and create your own poster! 🙌 #WashYourHands https://t.co/yxCoUdHhoj,
4,1.25185435566759E+018,"Important that we all are fully aware of this:

‘Vaccine is not guaranteed’

We need to be #all_in on every other strategy, too:

Medical
Pharmaceutical
Diagnostic
Surveillance
Contact tracing
#HealthyBuildings
Behavior change
Testing
Protecting most vulnerable https://t.co/UvlxvVCbWk",
5,1.2389815268194E+018,"If public confidence is needed, don’t send out the nudge “doctor” as front man. BBC letting itself down again. https://t.co/fYZ4GVdKig",
6,1.24581548916885E+018,Such an eye opening story. Thank you Dr. Schlesinger for all of the important advice! https://t.co/3xEJZnBMy6,
7,1.25511779481276E+018,#socialsciences #behavioralsciences Indeed lots of public health lessons from the HIV community and management of #COVID19 which involves a great deal of #behaviorchange https://t.co/39Nc0QlmT7,
8,1.23830189319499E+018,Love the use of #GenderEquality messaging with part of  @JuliaGillard’s powerful speech to remind me about #20secondhandwash to prevent the spread of #COVID19 #BehaviourChange #FlattenTheCurve https://t.co/JJ86GVoUjO,
9,1.24192561698472E+018,"#covid19 This is why citizens need higher math in school.

The linear chart on the left makes US an Italy look similar. But the logarithmic transform shows that Italy has peaked and US is just starting. 

A better understanding leads to more behavior change, and lives saved. https://t.co/PiK8beOpbv",
10,1.25515700672343E+018,"Last week we chatted with @jasonchebib, VP Consumer Planning @Diageo_NA about the emerging post- #coronavirus consumer &amp; what behaviors may be changed for good.  Listen to #ABehavioralConvo here to catch up: https://t.co/5hMWEyTddv  #behavioralscience #cex #cx #mrx #brandstrategy https://t.co/YJUjxyxqQh",
11,1.25009546958756E+018,"Will #COVID19 prevention messaging trigger &amp; sustain #behaviorchange? Success depends on how a message is crafted &amp; how current evidence is applied. @fhi360's Julia Rosenbaum explores her fave existing evidence on fear-based messaging &amp; the use of nudges: 
https://t.co/RXVzaKcpdk",
12,1.25177860922573E+018,@RotaryMalvern 🖐️🚰 #rotary #handwashing #behaviourchange project #handhygieneforhealth WATCH VIDEO https://t.co/uKEEDPh8e0 https://t.co/HtUOzsVYKT with #SPATAP Portable Tap making communities hygienic instantly https://t.co/7X3H0SlUB7  info@handhygieneforhealth.org #COVID19 https://t.co/eUy3x8Xwlv,
13,1.23778652785133E+018,"Suggested books

~ Abundance by @PeterDiamandis 
~ Thinking Fast and Slow by Daniel Kahneman
~ The Black Swan by @nntaleb 

Start working on your mind. 
Say to yourself, Ooin! I am doing well.  

Ooin by @mrmacaronii 

#COVID19 #coronavirus https://t.co/HMW0e5pn1z",
14,1.24274641907877E+018,"Behavioural Design to keep safe distance 

#coronavirus #COVIDー19 #socialdistancing #behavioralscience #nudge #nudging #behaviouralscience #behavioraldesign #safety #essentials https://t.co/wP3hn28p8X",
15,1.24639440740387E+018,"Fabulous thread
#change #motivation #COVID19 https://t.co/XXw5XLGUBA",
16,1.23814623145038E+018,"Vulnerable and old people stay at home please. 

Please don't be a bother. 

Cocoon yourself.  Wrap yourself away and don't bother the economically active https://t.co/df4Z2jNevV",
17,1.24106396879548E+018,H+K Director of Behavioral Science @Dan_Berry79 explained the most effective messages for behavioral change amidst #COVID19 on Sky News yesterday. Watch the video here: https://t.co/MeqvbfzpaC #HKinsights #coronavirus @HK_London https://t.co/o9gzyWl4gt,
18,1.24272994712444E+018,"It is important that the information you are accessing is helpful, especially during this time. This is a great summary of how information can be biased and the potential impact that can have. Stay informed, stay connected and stay safe! https://t.co/SMynqdJgdR",
19,1.23627304884573E+018,Another very good episode of real world behavioural science with @Stu_King_Hh this time in conversation with @SusanMichie and @jimmcmanusph discussing behavioural science as it applies to the #coronavirus and #publichealth https://t.co/kfDfiLtRGB,
20,1.24032843462418E+018,Behaviour change in response to #COVID19 is correlated with party identification. Left-leaning are quicker to adapt than right-leaning. Survey by @TheEconomist and @YouGov https://t.co/FgBUCPozwi,
21,1.25532996868025E+018,"We have used a new behavioural science study by @HKStrategies &amp; their creativity to develop a series of #COVID19 resources to help everyone effectively convey key messages &amp; #SlowtheSpread. Get those and 10,000+ free #coronavirus images at https://t.co/np3iUx39Nm https://t.co/Vv5aWKxdvP",
22,1.25625236064233E+018,BBC Finally Admits Communist Union Organiser Assisted with Panorama https://t.co/mJsdINFQ6j #bbcpanorama #NHS #covid19 #c4news #skynews #itvnews #bbcpm #bbcqt #Ridge #marr #peston #r4today they had another communist Susan Michie on #bbcbreakfast,
23,1.24406719755685E+018,"Just passing this on but hope it's hype, if they start the Herd Immunity behaviour in the UK it will result it maybe 100K deaths easily 😟
We need more respirators #COVID19 https://t.co/hThrgwwU6g",
24,1.24756113457779E+018,"Important to remember the importance of mood in influencing people.. often forgotten in the rush to just get a message out! 

#COVID19 #BehavioralScience #behaviorchange @Mindequity01 https://t.co/T7i4Kdmcjo",
25,1.2479262301266E+018,We help young people feel more in control of their lives even in the most challenging of circumstances. It was great to work with @Sail_Creative who are also making a significant impact to young people’s lives #mentallypreparingyp https://t.co/8sEUPXeebd,
26,1.24034423149296E+018,I can't wait to share this with my health behavior change students. Thanks for the application @SusanMichie 😄👍 https://t.co/MuFy4HsxVe,
27,1.25556888268692E+018,"Ask leaders to make #BehavioralScience core #education RT @BITAmericas: RT @BloombergCities: Face masks. Staying home. Social distancing. We've all had to adopt new behaviors in response to #COVID19.

Here's 5 t…",
28,1.25629116840234E+018,100% agreed. https://t.co/PXL5k9kimD,
29,1.25279806286019E+018,Join behavioural strategist @TheaKnight online at 11 am tomorrow 23 April to discover how you can apply #behaviouralscience to encourage continued adherence and prepare for new behaviours down the #COVID19 alert levels. https://t.co/xtbR2SP2xH #StaySafe #behaviourchange https://t.co/dR09RjZBUg,
30,1.2536951983512E+018,"""So I’m going to let the #restaurant sleep, like beauty she is, shallow breathing, dormant. And see what she looks like when she wakes up…in a city that may no longer recognize, want or need her""— #GabrielleHamilton https://t.co/QxEB6cr8q3 #covid19 #prunenyc #BehavioralEconomics",
31,1.23956082843037E+018,Why is it so hard not to touch your face? You are much more likely to be successful at changing your behavior if you focus on developing a new habit rather than stopping an old one. #BehaviorChange #COVID19 via @abmarkman @FastCompany   https://t.co/cnSVeHDafL,
32,1.25487433097614E+018,"Ask leaders to make #BehavioralScience core #education RT @diegogirlca: RT @GreenBook: The Case for Optimism, According to Behavioral Science @PRSINVIVO #mrx #covid19 #behavioralscience https://t.co/tUAjOqny1r h…",
33,1.23878485586291E+018,"@carolecadwalla Prof. Ian Donald is a professor of behavioural science. It's extremely interesting to hear what this other Medical doctor has to say about #HerdImmunity . Please also see his other tweets...

https://t.co/t6oNFrbNxq",
34,1.23852337046093E+018,"@lewis_goodall @adamboultonSKY Government policy in behavioural science has been heavily weighted for #COVID19, while other factors like quarantine, safety of vulnerable and infirm have been left as footnotes. #coronavirus doesn’t recognize herd immunity or herd mentality.",
35,1.23840002383195E+018,"2010 piece on Cameron’s new ‘nudge’ unit.

“The aim of the unit, strongly supported by George Osborne, is to explore ways of encouraging citizens to behave in social ways relying on market incentives, as opposed to regulations.”
#coronavirus
#market

https://t.co/c9xh9gmQsX",
36,1.24813748264807E+018,How can social and behavioural sciences support the response to COVID? New paper in Nature 👇 https://t.co/r0xqgR5fSK,
37,1.24348963558356E+018,Now I’m recovered a big thanks to all the great writers who kept @BylineTimes at the front of the battle to help the NHS counter #coronavirus and the disinformation around it. Above all to @Hardeep_Matharu who has kept the site buzzing virtually solo https://t.co/Q7EM13xJN2,
38,1.24111580362333E+018,Great article from my colleague and friend about what BeSci can and can not do against #coronavirus https://t.co/jGeBEz5bXL,
39,1.23785905677507E+018,"@DrAdamErrington And the next piece I come to in my TL states precisely what you’re saying. 

Oh god. And meantime the gov taking advice from behavioural insights team and telling us to wash our hands. 

https://t.co/frL7JmhUCQ https://t.co/Pwe2cnmYrQ",
40,1.24934770701098E+018,Amazon is around 40% of U.S. e-commerce. Thought-provoking piece from @erica_pandey. The behavior change established now will remain after #COVID19. https://t.co/MHbHXIuhWL,
41,1.2436146103197E+018,Proud to be part of this inspiring meeting to galvanise UK #healthpsychology to respond to #COVID19 as academics and health care professionals at the forefront of #healthpsychology &amp; #behaviouralscience @UWEBristol @PsychUWEBristol @000_sally @griffiths_marc @divhealthpsych https://t.co/sMjhBB48VA,
42,1.23708991820102E+018,"@realDonaldTrump ACTUAL SCIENCE: Travel bans without public health and behavior change interventions have modest (ie small, like your hands) effect. But keep insisting your response is perfect, like the phone call. https://t.co/2io1ycGy8p",
43,1.24856286912333E+018,This new #decade and the reaching for the #SDGs needs us to re-think. And develop better ways of doing things. #COVID19 is teaching us a lesson #NTVNews @citizentvkenya https://t.co/HA5STxsaKn,
44,1.24996403087112E+018,"Remember the Nudge Unit director's talk of ""cocooning"" the vulnerable? 

Today the director of UK's largest care home operator says that there are cases of #Covid19 in two-thirds (67%) of its care homes - much higher than the official figure of 13% quoted by the CMO yesterday. https://t.co/j0zDzhSxFh",
45,1.2464249556985E+018,"As an “essential industry”, food-related organizations now face a unique challenge in controlling exposure to #COVID19 . #foodsafety #coronavirus #foodsafetyculture #behavior #sanitation https://t.co/wS5OSI1X1a",
46,1.24216426550464E+018,"I have yet to see a great behavioral / nudge take on how to ensure maximum compliance with physical distancing and hygiene guidelines. 

Where are the #BehavioralEconomics people on #COVID19 &amp; how to turn the predictably irrational #COVIDIOTS into compliant, responsible citizens?",
47,1.24203773588139E+018,"Forced out of autopilot by #COVID19 ? Don't miss this opportunity to make critical changes to your #leadership! Check out how to leverage #behaviouraleconomics and #psychology to make the best of #WorkingFromHomeLife and have a stronger team as a result!

https://t.co/SD3EcdVLBA",
48,1.23897107989844E+018,"The role of psychology in slowing #COVID19 - @SusanMichie &amp; other behavioural scientists call for greater transparency in evidence base to increase public trust in government advice
By @hannahdev @guardian 
https://t.co/uMpozGGG1l",
49,1.23996793417007E+018,"And then this happens! Norm MacDonald shared my article! #HappyStPatricksDay 

https://t.co/pQPmd6rYRX

#YourHappinessHypothesis #relationships #behavioralscience #dating #datingapps #onlinedating #single #datingtrends #CORONAVIRUS #CORONAVIRUS
#COVID19 #COVID19ANXIETY https://t.co/KoLfrJaWBD",
50,1.25519141991394E+018,"Ask leaders to make #BehavioralScience core #education RT @PeterFrankCosta: RT @Protobrand: Last week we chatted with @jasonchebib, VP Consumer Planning @Diageo_NA about the emerging post- #coronavirus consumer &amp; wh…",
51,1.2454682092786E+018,Will consumer behavior &amp; pattern fundamentally or only modestly change when we come out on the other side? #COVID19 #ChangesTheMovement  #behavioraleconomics,
52,1.24308764663472E+018,Although new data is being produced all the time now to refine the model. https://t.co/Shgbpc38mI,
53,1.23805342845629E+018,@piersmorgan listen to a rational person on Coronavirus https://t.co/ndoyAOEBEs,
54,1.2457411189454E+018,"We need to ""replace the term 'social distancing' w/'spatial distancing,'"" says Loewenstein. This is in line w/Nick Epley's rec from last night's 
@CDR_Booth webinar: We don't need to distance ourselves socially, just physically. #BehavioralScience #COVID19 https://t.co/WRSacpD4jZ",
55,1.23814901593975E+018,Lock gran up for a cpl of weeks and all will be o.k.! https://t.co/Wetv9cMKRS,
56,1.25399900785414E+018,Ideas................. https://t.co/aDaZ9fZkQP,
57,1.23581877071674E+018,Ask leaders to make #BehavioralScience core #education RT @damani_anand: RT @BriefcaseTweets: Behavioural Design to get people to use the sanitizer @NudgingforKids #coronavirus #COVID19 #behaviouraldesign #behavi…,
58,1.23836606415893E+018,People go to the pub before live sporting events https://t.co/YOrRlxmVWR,
59,1.24673567384505E+018,Ask leaders to make #BehavioralScience core #education RT @ScalarHumanity: Ask leaders to make #BehavioralScience core #education RT @JustBeMentalist: RT @DavidIHodgson: #COVID19… https://t.co/sfW2UuBOO8,
60,1.24997446058679E+018,history will tell us..... https://t.co/OZRReDjsnj,
61,1.25522165105633E+018,Designing for Behavior Changes During a Pandemic. ⁦@amybphd⁩ #behaviorchange #COVID19 ⁦@WeWalife⁩  https://t.co/Pnobx8UF7O,
62,1.25153766587223E+018,THREAD #Covid_19 #covid #coronavirus #coronavirusUK #borisjohnson #dominiccummings #nudgeunit #ventilators #ventilatorshortage https://t.co/j9V6rhA1Kq,
63,1.24428823139656E+018,"Here's Gary.
He's a world leading epidemiologist and behavioral scientist. Him and his 16 mates have done a poll.
We can all stand down!! https://t.co/oq3g7Z4A6w",
64,1.25039486723631E+018,How do brands connect with consumers during immense economic and behaviour change? Wrote a piece on how different brands are reacting to our changing reality. Link below 👇🏻 https://t.co/p3Y6dOaETD,
65,1.24824025137562E+018,Using Behavioral Science to Control Exposure to #COVID19 and more on @FoodSafetyTech https://t.co/TSIbkWXXMx #FDA #FSMA #foodfraud #womeninfoodsafety,
66,1.25274528076154E+018,"Ask leaders to make #BehavioralScience core #education RT @DavidIHodgson: #COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience… https://t.co/AUfRIEJ4e0",
67,1.25263504913828E+018,"Sounds right with ref to #Covid19, see article by .@DrAseemMalhotra https://t.co/xV9S3OYcB9
and
Family weight management: changing behaviour techniques
https://t.co/GXvrVVlzGj https://t.co/MbDuMEh4kL",
68,1.25417974693569E+018,Ask leaders to make #BehavioralScience core #education RT @ScalarHumanity: Ask leaders to make #BehavioralScience core #education RT @gogsy58: RT @DavidIHodgson: #COVID19 #Coronavirus… https://t.co/xX67DD3OZK,
69,1.24960462820069E+018,"Ask leaders to make #BehavioralScience core #education RT @DavidIHodgson: #COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience… https://t.co/6UzQW8T9aa",
70,1.24544849549615E+018,"Tracking #UK #behaviourchange
2 evaluate #physicaldistancing

#COVID19 Ro could fall&lt;&lt;1.0

Fingers🤞

@AdamJKucharski
https://t.co/XnIqASG3gz",
71,1.25031426929752E+018,"Ask leaders to make #BehavioralScience core #education RT @DavidIHodgson: #COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience… https://t.co/uGUCjrmjp4",
72,1.24743021362727E+018,"Ask leaders to make #BehavioralScience core #education RT @DavidIHodgson: #COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience… https://t.co/f7i8rOAZFs",
73,1.24882691047532E+018,Insights from #behaviouralscience for #COVID19 pandemic - our latest blog currently available in 20 languages - more available in coming days 👇👇👇https://t.co/ottGqPemrd @EHPSociety @dkwasnicka @JennyLOlson @SDPotthoff @AinsleaCross @keeganknittle https://t.co/DAJbqX1A7g,
74,1.23820851998538E+018,This man is a psychologist. That is how ******** the UK is re: #coronavirus. The BBC didn't point that out of course. https://t.co/rSrbEny7wJ,
75,1.23581874809687E+018,Ask leaders to make #BehavioralScience core #education RT @mayurtek: RT @BriefcaseTweets: Behavioural Design to get people to use the sanitizer @NudgingforKids #coronavirus #COVID19 #behaviouraldesign #behavi…,
76,1.24166505604942E+018,"@piersmorgan @Spoonhead8 Here we see Dr David Halpern of the Behavioural Insights Team speaking on the record to the BBC on 11th March.

Halpern sits, or did then, on SAGE, the key committee organising the response to the #coronavirus.

https://t.co/HemuIMC1e5",
77,1.25335074573224E+018,"How Behavioral Studies Suggests, Patterns of Seeings Things Do Change &amp; Become Adaptive During the Course of Pandemic #Covid_19 

Do Read.. 
https://t.co/4Fu805zAYv

#COVID19 #carhelpline #ReadingHour #behaviorchange #roadsidecoverage #insurtech #insurance #PandemicCovid19",
78,1.23785121759579E+018,Read this and action! https://t.co/aPLU2Qr8Cb,
79,1.23812113228222E+018,@excisa - any thoughts on this? https://t.co/vc1WOdU7YN,
80,1.2510832717038E+018,"Since the #covid19 #coronavirus pandemic increases *much* more quickly than #HIV ever did, can responses based on these lessons be developed at lightning speed? https://t.co/WBexNleZYi",
81,1.25152221458908E+018,"Ask leaders to make #BehavioralScience core #education RT @pikachanyan: RT @DavidIHodgson: #COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience #behavioraleconomics #…",
82,1.25470123128675E+018,"@BorisJohnson @GOVUK @10DowningStreet #endthelockdown #endthelockdownuk
Boris YOU will go down in history as the man that KILLED Britain. https://t.co/7xF6jrSHOT",
83,1.24783774656099E+018,"@globalhlthtwit Cobblers - they might be deaths ""with"" coronavirus but they won't be deaths ""of"" it. Most deaths are of people with underlying conditions a la 'flu.

#COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience #behavioraleconomics #NWO",
84,1.25102387078361E+018,Ask leaders to make #BehavioralScience core #education RT @ScalarHumanity: Ask leaders to make #BehavioralScience core #education RT @DavidIHodgson: #COVID19 #Coronavirus #ToriesOut… https://t.co/kufGxjCRsV,
85,1.25025382299333E+018,"Ask leaders to make #BehavioralScience core #education RT @jpcarroll: RT @reshmatrasi: My small, humble contribution to the #COVID19  blogosphere, where I reflect on what leading a #behavioralscience project f…",
86,1.23769341490649E+018,"Ahead of #diversealz Thurs on media, dementia and reporting in the age of coronavirus, we will also chat about this: https://t.co/BlM8poinvS",
87,1.25004285952234E+018,how did this work out @BBCMarkEaston ? https://t.co/mFKffgn7cD,
