,id,created_at,favorite_count,retweet_count,text,tweet_cleaned,tweet_cleaned_less,VDR_sentiment,VDR_sentiment_2,TB_sentiment,VDR_detailed_sentiment,VDR_detailed_sentiment_2
0,1252571762627235841,Tue Apr 21 12:15:54 +0000 2020,1,0,"As covid-19 sweeps the world, shoppers forced to change purchase behaviour.
#coronavirus #consumer #behaviorchange #restaurants #theatre #automobile #health #finance #COVID19 #CoronaVirusUpdate 
Link: https://t.co/402gGrrCAA https://t.co/WUsB26ingV","sweeps world, shoppers forced change purchase behaviour. consumer behavior change restaurants theatre automobile health finance update:","As covid- sweeps the world, shoppers forced to change purchase behaviour. coronavirus consumer behavior change restaurants theatre automobile health finance Corona Virus Update Link:",{'compound': -0.4588},{'compound': -0.4588},-0.3,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0}","{'neg': 0.115, 'neu': 0.885, 'pos': 0.0}"
1,1251423335935811584,Sat Apr 18 08:12:28 +0000 2020,0,0,"They live on a different planet....

#COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience #behavioraleconomics #NWO #RevolutionNow #Censorship #Stasi #endthelockdown #NoVaccineForMe https://t.co/wyPcvRkL1C",live different planet .... tories police state police state mass surveillance behavioral science behavioral economics revolution censorship stasi endthelockdown no vaccine,They live on different planet.... Coronavirus Tories Out Police State Police State Mass Surveillance Behavioral Science behavioral economics Revolution Now Censorship Stasi endthelockdown No Vaccine For Me,{'compound': -0.296},{'compound': -0.296},0.068,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0}","{'neg': 0.078, 'neu': 0.922, 'pos': 0.0}"
2,1242749346392702978,Wed Mar 25 09:45:08 +0000 2020,0,0,"Ask leaders to make #BehavioralScience core #education RT @BriefcaseTweets: Behavioural Design to keep safe distance 

#coronavirus #COVIDー19 #socialdistancing #behavioralscience #nudge… https://t.co/OpraxDeqxb",ask leaders make behavioral science core education behavioural design keep safe distance social distancing behavioral science nudge,Ask leaders to make Behavioral Science core education Behavioural Design to keep safe distance coronavirus social distancing behavioral science nudge,{'compound': 0.4404},{'compound': 0.4404},0.267,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153}","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132}"
3,1251522214589083655,Sat Apr 18 14:45:22 +0000 2020,0,0,"Ask leaders to make #BehavioralScience core #education RT @pikachanyan: RT @DavidIHodgson: #COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience #behavioraleconomics #…",ask leaders make behavioral science core education tories police state police state mass surveillance behavioral science behavioral economics,Ask leaders to make Behavioral Science core education Coronavirus Tories Out Police State Police State Mass Surveillance Behavioral Science behavioral economics,{'compound': 0.0},{'compound': 0.0},0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0}"
4,1247108199448285185,Mon Apr 06 10:25:39 +0000 2020,0,1,"Wake up world. You're being conned. Switch off #MSM &amp; start thinking for yourselves.

#COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience #behavioraleconomics #NWO https://t.co/1yOWt77vIE",wake world. conned. switch; start thinking. tories police state police state mass surveillance behavioral science behavioral economics,Wake up world. You're being conned. Switch off &amp; start thinking for yourselves. Coronavirus Tories Out Police State Police State Mass Surveillance Behavioral Science behavioral economics,{'compound': 0.0},{'compound': 0.0},0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0}"
5,1242771954282770433,Wed Mar 25 11:14:58 +0000 2020,9,3,"I have been critical re the behavioural science &amp; public communication strategies but also willing to help and contribute, signed up below to help the government crowdsource expertise. It's on all aspects of the #COVID19 pandemic so scientists of all stripes do consider joining! https://t.co/bal8v0DFXv","critical behavioural science; public communication strategies also willing help contribute, signed help government crowdsource expertise. aspects scientists stripes consider joining!","have been critical re the behavioural science &amp; public communication strategies but also willing to help and contribute, signed up below to help the government crowdsource expertise. It's on all aspects of the pandemic so scientists of all stripes do consider joining!",{'compound': 0.5255},{'compound': 0.7745},0.104,"{'neg': 0.092, 'neu': 0.68, 'pos': 0.228}","{'neg': 0.034, 'neu': 0.812, 'pos': 0.154}"
6,1248238990337204224,Thu Apr 09 13:19:01 +0000 2020,0,0,"@BBCNews @itvnews @piersmorgan @GMB 

Any chance of a mention for the sake of balance?

#COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience #behavioraleconomics #NWO #RevolutionNow #Censorship #Stasi #endthelockdown https://t.co/Nz0MyGl1gS",chance mention sake balance? tories police state police state mass surveillance behavioral science behavioral economics revolution censorship stasi endthelockdown,Any chance of mention for the sake of balance? Coronavirus Tories Out Police State Police State Mass Surveillance Behavioral Science behavioral economics Revolution Now Censorship Stasi endthelockdown,{'compound': 0.25},{'compound': 0.25},0.0,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1}","{'neg': 0.0, 'neu': 0.929, 'pos': 0.071}"
7,1247822777182302209,Wed Apr 08 09:45:08 +0000 2020,0,0,"Ask leaders to make #BehavioralScience core #education RT @DavidIHodgson: @BBCNews @itvnews @piersmorgan @GMB 

Any chance of a mention for the sake of balance?

#COVID19 #Coronavirus… https://t.co/kVtcI3OyeQ",ask leaders make behavioral science core education chance mention sake balance?,Ask leaders to make Behavioral Science core education Any chance of mention for the sake of balance? Coronavirus,{'compound': 0.25},{'compound': 0.25},0.0,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167}","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105}"
8,1247862004662054912,Wed Apr 08 12:21:00 +0000 2020,0,0,"@BBCNews @itvnews @piersmorgan @GMB 

Any chance of a mention for the sake of balance?

#COVID19 #Coronavirus #ToriesOut #PoliceState #PoliceStateUK #MassSurveillance
#BehavioralScience #behavioraleconomics #NWO #RevolutionNow #Censorship https://t.co/HDqdJQES7T",chance mention sake balance? tories police state police state mass surveillance behavioral science behavioral economics revolution censorship,Any chance of mention for the sake of balance? Coronavirus Tories Out Police State Police State Mass Surveillance Behavioral Science behavioral economics Revolution Now Censorship,{'compound': 0.25},{'compound': 0.25},0.0,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111}","{'neg': 0.0, 'neu': 0.923, 'pos': 0.077}"
9,1256282310808408069,Fri May 01 18:00:18 +0000 2020,0,0,The importance of Integrating hygiene behaviour change into routine immunisation programme is more important then ever in this COVID19 pandemic! #WASH #Vaccine #COVID19 #Hygiene https://t.co/uPrwSsBJWv,importance integrating hygiene behaviour change routine immunisation programme important ever! vaccine hygiene,The importance of Integrating hygiene behaviour change into routine immunisation programme is more important then ever in this pandemic! Vaccine Hygiene,{'compound': 0.5562},{'compound': 0.5974},0.5,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315}","{'neg': 0.0, 'neu': 0.795, 'pos': 0.205}"
