,id,created_at,user_location,text,subkeywords
22,1237267798134423553,Tue Mar 10 06:43:25 +0000 2020,Windang,Good advice!!! #coronavirusaustralia #COVID19 #COVIDー19 https://t.co/8UR3Z5HhYW,"['corona', 'coronavirus', 'covid', 'covid19']"
33,1242385289106112512,Tue Mar 24 09:38:29 +0000 2020,UK,Similar situation to one of my children &amp; many of their friends - they can’t stay at home as they need what work &amp; ££ with they can get - Govt has to sort this if they are serious about saving lives #COVID19 https://t.co/eGU7VQFDVO,"['covid', 'covid19']"
45,1238720711012868097,Sat Mar 14 06:56:46 +0000 2020,UK,"@BorisJohnson 's policy 'goes against everything we are as a country'
@piersmorgan @GMB #coronavirus https://t.co/C7OwmmIx8j","['corona', 'coronavirus']"
49,1260207238112780289,Tue May 12 13:56:33 +0000 2020,"Birmingham, UK","A great interview with @DigitalMR_CEO, explaining how the @DigitalMR team have responded to the #COVID19 pandemic, and how they have adapted to remote working. https://t.co/k2j5WjVV5j","['pandemic', 'covid', 'covid19']"
60,1264635821883297801,Sun May 24 19:14:10 +0000 2020,United Kingdom,"Lockdown is being violated all over the country now.

Wait for the spike - more unnecessary victims of #Covid19 https://t.co/CqSvdBPCUF","['covid', 'covid19']"
66,1234931634555801609,Tue Mar 03 20:00:20 +0000 2020,,Strategies to try to reduce spread of COVID-19. A must for anyone advising the public and for all to share with friends/family. https://t.co/dBLhqUHZAX,"['covid', 'covid-19']"
70,1244648098380558337,Mon Mar 30 15:30:05 +0000 2020,"Cambridge, MA & #Bilbao #Basque","#BehavioralScience webinar - ""Behavior science responses [to #COVID19 #coronavirus] in India"" by @IndiaBEnetwork while you #StayHome : ) @HarvardBIG @kapoors_s https://t.co/TzpracjmcV","['corona', 'coronavirus', 'covid', 'covid19']"
84,1266084109174128640,Thu May 28 19:09:08 +0000 2020,UK,"The press can unite to shut down the Govt propaganda by boycotting the daily briefing &amp; refusing ministers access to TV &amp; radio slots. The press hold the key to the country bringing this rogue Govt to account. If they don't, shame on them. #coronavirus #channel4news #itvnews https://t.co/RAM15a9IZa","['corona', 'coronavirus']"
92,1245161338277634049,Wed Apr 01 01:29:31 +0000 2020,"Cambridge, MA & #Bilbao #Basque",#BehavioralScience helps you understand why untruths around #COVID19 #coronavirus (and others) stick and one can easily be influenced by lies even if you’re aware of them @HarvardBIG https://t.co/GmRhxJjOEe,"['corona', 'coronavirus', 'covid', 'covid19']"
109,1264632087170240517,Sun May 24 18:59:19 +0000 2020,,I urge people to write to their MPs. I wrote to mine tonight to express how furious I am and how I feel the entire response has been a betrayal of those who followed the rules in the understanding it was saving lives. I got a swift and strong reply and felt briefly heard #COVID19 https://t.co/4FfT5byoq3,"['covid', 'covid19']"
116,1243631600903925760,Fri Mar 27 20:10:53 +0000 2020,"San Francisco, CA","I'm not a huge fan of putting lives in economic terms, but even if you insist on doing that, public health benefits vastly outweigh economic costs in this case. #CancelEverything #COVID2019 https://t.co/zoDQesGUFI",['covid']
137,1243580527338303493,Fri Mar 27 16:47:56 +0000 2020,,What now with #COVID19? https://t.co/YUKbOYw0sh,"['covid', 'covid19']"
