,created_at,hashtags,favorite_count,id,reweet_id,retweet_screen_name,lang,place,possibly_sensitive,retweet_count,text,user_screen_name,user_followers_count,user_location,user_name,user_screen_name.1,user_time_zone
4,Wed Mar 25 09:45:08 +0000 2020,BehavioralScience education coronavirus COVIDー19 socialdistancing behavioralscience nudge,0,1242749346392702978,,,en,,False,0,"Ask leaders to make #BehavioralScience core #education RT @BriefcaseTweets: Behavioural Design to keep safe distance 

#coronavirus #COVIDー19 #socialdistancing #behavioralscience #nudge… https://t.co/OpraxDeqxb",ScalarHumanity,4424,,Scalar Humanity,ScalarHumanity,
8,Tue Apr 14 02:38:07 +0000 2020,CRE COVID19 MustRead,0,1249889641756590082,,,en,,False,0,"The 6-feet office #CRE Eventually we will have to go back to our offices #COVID19 won’t be eradicated, and not everyone will be immune. Using design to nudge behavior #MustRead  https://t.co/0tQGg08Ixb",Acho_Wendy,2215,"Nineveh Plains, Iraq",Wendy R. Acho,Acho_Wendy,
10,Sun Mar 29 09:35:09 +0000 2020,,0,1244196388487024640,,,en,,False,0,"They're trying to nudge, but they have an obsession with secrecy, i.e., a pre-internet organisation.  Thus when their manipulation is exposed, they lose the trust of those they're supposed to serve.  It's likely to be completely restructured post-covid-19. https://t.co/Yv5D9FkCl5",HenryBathurst,17,,Henry,HenryBathurst,
16,Mon Mar 16 10:07:28 +0000 2020,COVID19 kuschelkonsens,8,1239493479853678594,,,en,,False,5,"This is exactly what @nntaleb refers to when he talks about the damage that can be done by ""nudge boy"" (@R_Thaler) policies. Total failure by @BAG_OFSP_UFSP. Too slow and too weak. #COVID19 #kuschelkonsens https://t.co/SYODfUPntP",DanielAntonin1,23,,Dr. Antonin Daniel,DanielAntonin1,
21,Wed Mar 25 11:14:58 +0000 2020,COVID19,10,1242771954282770433,,,en,,False,3,"I have been critical re the behavioural science &amp; public communication strategies but also willing to help and contribute, signed up below to help the government crowdsource expertise. It's on all aspects of the #COVID19 pandemic so scientists of all stripes do consider joining! https://t.co/bal8v0DFXv",Sander_vdLinden,5639,"Cambridge, England",Sander van der Linden,Sander_vdLinden,
23,Wed Mar 25 09:20:36 +0000 2020,,1,1242743173559934976,,,en,,False,1,"@ekta_batra Obvious things. We were never prepared and our policy makers never think beyond and ahead, to look at psychological and transactional barriers. All they do is fill chapters in Economic surveys with 'Nudge' and BS theories.
https://t.co/nSQROTYsDW",SapriioMichael,84,"Manipur, India",Sapriio Michael,SapriioMichael,
37,Fri Mar 20 11:14:37 +0000 2020,,0,1240959927457177600,,,en,,False,0,Certain tools belong in that shed....nudge nudge wink wink... https://t.co/PDvjhcP9am,JKarahal,132,,jk_enigma,JKarahal,
39,Fri May 01 18:00:18 +0000 2020,WASH Vaccine COVID19 Hygiene,0,1256282310808408069,,,en,"Eltham, London",False,0,The importance of Integrating hygiene behaviour change into routine immunisation programme is more important then ever in this COVID19 pandemic! #WASH #Vaccine #COVID19 #Hygiene https://t.co/uPrwSsBJWv,OmPrasadGautam,532,"London, UK ","Om Prasad Gautam, PhD, MPH, MSc",OmPrasadGautam,
42,Tue Mar 31 23:01:28 +0000 2020,COVID19,3,1245124079750914048,,,en,,False,2,How behavioral science can help address the #COVID19 crisis. Via @NatureHumBehav https://t.co/HU4Ytl2wrD https://t.co/sbCf1eZ3gq,MuinJKhoury,2937,"Atlanta, GA",Muin J. Khoury,MuinJKhoury,
48,Fri Mar 13 07:16:26 +0000 2020,,3,1238363274099425282,,,en,,False,0,"👇🏻 Agree. It does not help that we are left guessing at the science.

Some of this is out there. For example @SusanMichie 

But would be hugely helpful to bring it together to bolster trust in the strategy https://t.co/jqkOR46X8s",JohndePury,2287,London,John de Pury,JohndePury,
51,Wed Apr 08 13:39:41 +0000 2020,HanTerrorists ChineseVirus XijinpingVirus,0,1247881804188508160,,,en,,False,0,It did help millions of chinese whose deaths you have hidden and are responsible for. The world must put heavy sanctions and penalise the ccp authorities. #HanTerrorists #ChineseVirus #XijinpingVirus https://t.co/P0cyc7Htko,RestlessPUNdit,340,Omnipresent.,🃏 ReStLeSsJoKeR 🃏,RestlessPUNdit,
