,Unnamed: 0,created_at,hashtags,favorite_count,id,reweet_id,retweet_screen_name,lang,place,possibly_sensitive,retweet_count,text,user_screen_name,user_followers_count,user_location,user_name,user_screen_name.1,user_time_zone,text_cl,subkeywords,relevant_subkwords
1,6,Sun Apr 19 07:41:53 +0000 2020,rotary handwashing behaviourchange handhygieneforhealth SPATAP COVID19,0,1251778026603294720,,,en,,False,0,@chprotary 🖐️🚰 #rotary #handwashing #behaviourchange project #handhygieneforhealth WATCH VIDEO https://t.co/uKEEDPh8e0 https://t.co/HtUOzsVYKT with #SPATAP Portable Tap making communities hygienic instantly https://t.co/7X3H0SlUB7  info@handhygieneforhealth.org #COVID19 https://t.co/0PkpOJsC5Q,RotaryHHFH,98,"Sunshine Coast, Queensland",HandHygieneForHealth,RotaryHHFH,,@chprotary 🖐️🚰 #rotary #handwashing #behaviourchange project #handhygieneforhealth watch video https://t.co/ukeedph8e0 https://t.co/htuozsvykt with #spatap portable tap making communities hygienic instantly https://t.co/7x3h0slub7  info@handhygieneforhealth.org #covid19 https://t.co/0pkpojsc5q,"['behaviourchange', 'covid']",['behaviourchange']
2,14,Tue Apr 07 21:48:18 +0000 2020,,2,1247642382293561345,,,en,,False,0,"""Of course, should behaviour change as governments would wish, actual outcomes will be less terrifying than the models had originally forecast. This is not evidence that the policy was unnecessary: Rather, it is evidence that it worked."" https://t.co/b5jKA0D6r7",FairDuty,496,"Treaty Six - Edmonton, Canada",Meera Nair,FairDuty,,"""of course, should behaviour change as governments would wish, actual outcomes will be less terrifying than the models had originally forecast. this is not evidence that the policy was unnecessary: rather, it is evidence that it worked."" https://t.co/b5jka0d6r7",['behaviour change'],['behaviour change']
3,17,Sat Mar 14 19:34:45 +0000 2020,coronavirus,10,1238911465303801856,,,en,,False,2,"My cartoon - he doesn’t trust doctors, he wants to see a behavioural scientist 
#coronavirus https://t.co/BLCsrb88cb",MartinShovel,13786,United Kingdom,Martin Shovel,MartinShovel,,"my cartoon - he doesn’t trust doctors, he wants to see a behavioural scientist 
#coronavirus https://t.co/blcsrb88cb","['behavioural scientist', 'corona']",['behavioural scientist']
4,26,Thu Mar 12 14:40:29 +0000 2020,,0,1238112632969801728,,,en,,False,0,So it seems clear that UK strategy is to let virus spread to achieve herd immunity and to try and protect vulnerable by ... cocooning elderly people? This doctor is a psychologist https://t.co/wbBIjLeOt2,Hippoclides,2109,Dublin 12,Michael O'Sullivan,Hippoclides,,so it seems clear that uk strategy is to let virus spread to achieve herd immunity and to try and protect vulnerable by ... cocooning elderly people? this doctor is a psychologist https://t.co/wbbijleot2,"['psychologist', 'herd immunity']","['psychologist', 'herd immunity']"
7,37,Mon May 04 12:47:08 +0000 2020,covid19 lockdown,0,1257290666784235520,,,en,,False,1,"What role will behavioural science play in lifting the lockdown in the UK? Oxera Senior Consultants Leon Fields and Tim Hogg and Senior Adviser Peter Andrews explore underlying questions of nudging, empiricism and compliance here: https://t.co/2ZMVZTSCiV #covid19 #lockdown",OxeraConsulting,1503,"Amsterdam, Berlin, Brussels, London, Oxford, Paris, Rome",Oxera Consulting LLP,OxeraConsulting,,"what role will behavioural science play in lifting the lockdown in the uk? oxera senior consultants leon fields and tim hogg and senior adviser peter andrews explore underlying questions of nudging, empiricism and compliance here: https://t.co/2zmvztsciv #covid19 #lockdown","['behavioural science', 'nudging', 'covid']","['behavioural science', 'nudging']"
8,39,Wed May 06 14:28:43 +0000 2020,COVID19 KomeshaCorona coronaviruskenya,4,1258041006223765505,,,en,,False,1,"Behaviour Change in the context of #COVID19 , will the tried and tested still hold?. Join @AfricaSBC on 13/05/2020 for an indepth discussion on behaviour change in the context of COVID-19. Click the link to join- https://t.co/dqLFxF6ZHS #KomeshaCorona #coronaviruskenya https://t.co/dv6BcOXL99",TunzaHealth,83,,Tunza Health Network,TunzaHealth,,"behaviour change in the context of #covid19 , will the tried and tested still hold?. join @africasbc on 13/05/2020 for an indepth discussion on behaviour change in the context of covid-19. click the link to join- https://t.co/dqlfxf6zhs #komeshacorona #coronaviruskenya https://t.co/dv6bcoxl99","['behaviour change', 'corona', 'covid']",['behaviour change']
9,40,Thu Apr 09 20:45:48 +0000 2020,Winnipeg UpToSpeed Manitoba coronavirus COVID19 psychology mentalhealth behaviouralscience,3,1248351427644325890,,,en,,,0,"Hey #Winnipeg!! Looking forward to joining @CBCIsmaila on today's #UpToSpeed to talk isolation, stress, and how to safeguard your mental health in these unprecedented times. @CBCManitoba #Manitoba #coronavirus #COVID19 #psychology #mentalhealth #behaviouralscience @senecacollege",lcava,1082,Toronto,Laura Cavanagh,lcava,,"hey #winnipeg!! looking forward to joining @cbcismaila on today's #uptospeed to talk isolation, stress, and how to safeguard your mental health in these unprecedented times. @cbcmanitoba #manitoba #coronavirus #covid19 #psychology #mentalhealth #behaviouralscience @senecacollege","['behaviouralscience', 'psychology', 'corona', 'covid']","['behaviouralscience', 'psychology']"
11,52,Fri May 08 09:38:45 +0000 2020,water sanitation hygiene COVID19,2,1258692809906892800,,,en,,False,3,"A failure to invest in the provision of #water, #sanitation and #hygiene services for all, and to promote hygiene behaviour change on a massive scale will mean that an alarming increase of #COVID19 cases in Nigeria becomes inevitable.

https://t.co/VFR1PNtYpT",WaterAidNigeria,7463,"Abuja, Nigeria ",WaterAid Nigeria,WaterAidNigeria,,"a failure to invest in the provision of #water, #sanitation and #hygiene services for all, and to promote hygiene behaviour change on a massive scale will mean that an alarming increase of #covid19 cases in nigeria becomes inevitable.

https://t.co/vfr1pntypt","['behaviour change', 'covid']",['behaviour change']
13,59,Tue Jun 02 22:41:15 +0000 2020,monashlens COVID19 behaviourchange,7,1267949427651604480,,,en,,False,7,"Great piece in #monashlens about the real-time survey we're leading in Aus to track #COVID19 #behaviourchange and give policymakers actionable insights @PeterSlattery1 @aksaeri @MonashMSDI 
https://t.co/ii4HbZWlQX",BehavWorksAus,1207,"Melbourne, Victoria",BehaviourWorks Aus,BehavWorksAus,,"great piece in #monashlens about the real-time survey we're leading in aus to track #covid19 #behaviourchange and give policymakers actionable insights @peterslattery1 @aksaeri @monashmsdi 
https://t.co/ii4hbzwlqx","['behaviourchange', 'covid']",['behaviourchange']
14,66,Fri Apr 24 04:30:54 +0000 2020,covid19 marketing,0,1253541905037737990,,,en,,False,0,The latest The behavioural science Daily! https://t.co/9VuzJsvhyh Thanks to @Haziqikhsan @Lakecrazy @dilipsoman #covid19 #marketing,davidmccann_cx,698,"Bengaluru, India",David McCann,davidmccann_cx,,the latest the behavioural science daily! https://t.co/9vuzjsvhyh thanks to @haziqikhsan @lakecrazy @dilipsoman #covid19 #marketing,"['behavioural science', 'covid']",['behavioural science']
